name,magnet
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第一季),magnet:?xt=urn:btih:A869F2D1831DF78441346143B8D5CEDA5E7FC787
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第二季),magnet:?xt=urn:btih:413B4490CCA0AC748D7B878ED05468EBA11D2607
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第三季),magnet:?xt=urn:btih:3CC26648164293DE290F22D7C6AC3856DD699D1A
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第四季),magnet:?xt=urn:btih:9A30DE862942DE44AEBACBC6B8FA21690A00047A
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第五季),magnet:?xt=urn:btih:DB17E6B6362097729C3E6C8E2F1360238A573386
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第六季),magnet:?xt=urn:btih:DD0DBDA9E92C8B94C9D4C27A700595B4D40CA41F
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第七季),magnet:?xt=urn:btih:5446A7F3A51C8E386E4058E197A69976DACF4EA2
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第八季),magnet:?xt=urn:btih:D35A8411BAD7F3E681F81CDFD0539BFEAF19D003
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第九季),magnet:?xt=urn:btih:924524A65971E42664B7A2827A595A69DEEB456E
Friends.Complete.1994-2004.BluRay.720p.x264.AC3-CMCT(第十季),magnet:?xt=urn:btih:E93A1D8A26E3874D749C74D395C195FA60E4CF4C
